,pval,Region,Stain,test,comparison,test.stat,effect_size,FDR_adjusted_pval,Region_Stain,Age.Harvested
V187,0.448804441,Intralaminar.nuclei.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,60,0.129894694,0.558467065,Intralaminar.nuclei.of.the.dorsal.thalamus_AB1.42,6
V188,0.000776593,Isocortex,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,5,0.576407703,0.004449228,Isocortex_AB1.42,6
V189,0.897142488,Lateral.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,65,0.022169952,0.941154351,Lateral.amygdalar.nucleus_AB1.42,6
V190,0.776388432,Lateral.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,83,0.04871051,0.864400076,Lateral.group.of.the.dorsal.thalamus_AB1.42,6
V191,0.420965221,Lateral.septal.complex,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,59,0.138013112,0.531034108,Lateral.septal.complex_AB1.42,6
V192,0.623261445,Medial.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,58,0.084245817,0.72625804,Medial.group.of.the.dorsal.thalamus_AB1.42,6
V193,0.129818141,Mid_Hind_Medulla,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,109,0.259789387,0.206358317,Mid_Hind_Medulla_AB1.42,6
V194,0.34376,Midbrain,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,56,0.162368367,0.454490384,Midbrain_AB1.42,6
V195,0.900085797,Midbrain..behavioral.state.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,50,0.021532156,0.941154351,Midbrain..behavioral.state.related_AB1.42,6
V196,0.670076541,Midbrain..motor.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,67,0.073065765,0.761450615,Midbrain..motor.related_AB1.42,6
V197,0.660281507,Midbrain..sensory.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,77,0.075377836,0.75657256,Midbrain..sensory.related_AB1.42,6
V198,0.224015384,Midline.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,23,0.208528566,0.320855368,Midline.group.of.the.dorsal.thalamus_AB1.42,6
V199,0.962243757,Nucleus.accumbens,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,78,0.008118418,0.97285674,Nucleus.accumbens_AB1.42,6
V200,0.002448463,Olfactory.areas,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,12,0.519578774,0.008859571,Olfactory.areas_AB1.42,6
V201,0.001661694,Olfactory.tubercle,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.539338099,0.007140093,Olfactory.tubercle_AB1.42,6
V202,0.849816607,Pallidum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.032473673,0.912888934,Pallidum_AB1.42,6
V203,0.94428467,Parasubiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,47,0.011985291,0.97285674,Parasubiculum_AB1.42,6
V204,0.024491416,Pons,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,112,0.385757161,0.050640146,Pons_AB1.42,6
V205,0.801732213,Pons..behavioral.state.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,57,0.043064311,0.889017575,Pons..behavioral.state.related_AB1.42,6
V206,0.004830456,Pons..motor.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,123,0.483304949,0.014597533,Pons..motor.related_AB1.42,6
V207,0.124174726,Pons..sensory.related,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,23,0.263676404,0.199696196,Pons..sensory.related_AB1.42,6
V208,0.074431379,Posterior.amygdalar.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,33,0.305945335,0.134662034,Posterior.amygdalar.nucleus_AB1.42,6
V209,0.485134431,Postsubiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,82,0.11971774,0.587717922,Postsubiculum_AB1.42,6
V210,0.938175553,Presubiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,66,0.013301971,0.97285674,Presubiculum_AB1.42,6
V211,0.924572012,Reticular.nucleus.of.the.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,79,0.016236837,0.963095846,Reticular.nucleus.of.the.thalamus_AB1.42,6
V212,0.003335879,Striatum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,14,0.503341937,0.010667054,Striatum_AB1.42,6
V213,0.072042719,Striatum.like.amygdalar.nuclei,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,38,0.308499897,0.131203627,Striatum.like.amygdalar.nuclei_AB1.42,6
V214,0.142245169,Striatum_Pallidum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,45,0.251670969,0.222258077,Striatum_Pallidum_AB1.42,6
V215,0.005223004,Subiculum,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,136,0.478986682,0.015119222,Subiculum_AB1.42,6
V216,0.155028821,Subparafascicular.nucleus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,40,0.24386947,0.240340721,Subparafascicular.nucleus_AB1.42,6
V217,0.118250884,Thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,43,0.267907805,0.191288195,Thalamus_AB1.42,6
V218,0.297672152,Ventral.group.of.the.dorsal.thalamus,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,99,0.178605204,0.403250452,Ventral.group.of.the.dorsal.thalamus_AB1.42,6
V219,0.236629793,ventricular.systems,AB1.42,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,51,0.202960459,0.330320778,ventricular.systems_AB1.42,6
V220,0.003881629,Ammon.s.horn,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,138,0.495223519,0.012130092,Ammon.s.horn_Thionine,6
V221,0.003881629,Anterior.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,138,0.495223519,0.012130092,Anterior.group.of.the.dorsal.thalamus_Thionine,6
V222,0.000776593,Basolateral.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,148,0.576407703,0.004449228,Basolateral.amygdalar.nucleus_Thionine,6
V223,0.000776593,Basomedial.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,148,0.576407703,0.004449228,Basomedial.amygdalar.nucleus_Thionine,6
V224,0.000920809,Caudoputamen,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,6,0.568289284,0.004869665,Caudoputamen_Thionine,6
V225,0.000776593,Claustrum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,148,0.576407703,0.004449228,Claustrum_Thionine,6
V226,0.236629793,Cortex,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,51,0.202960459,0.330320778,Cortex_Thionine,6
V227,0.000321048,Cortical.subplate,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Cortical.subplate_Thionine,6
V228,0.000321048,Dentate.gyrus..granule.cell.layer,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Dentate.gyrus..granule.cell.layer_Thionine,6
V229,0.000321048,Dentate.gyrus..molecular.layer,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,Dentate.gyrus..molecular.layer_Thionine,6
V230,0.002448463,Dentate.gyrus..polymorph.layer,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,12,0.519578774,0.008859571,Dentate.gyrus..polymorph.layer_Thionine,6
V231,0.010580471,Endopiriform.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,131,0.438394591,0.025523066,Endopiriform.nucleus_Thionine,6
V232,0.155565994,Entorhinal.area,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,107,0.24355255,0.240340721,Entorhinal.area_Thionine,6
V233,0.000548903,Epithalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,150,0.592644539,0.003773707,Epithalamus_Thionine,6
V234,0.000321048,fiber.tracts,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616999794,0.003526486,fiber.tracts_Thionine,6
V235,0.201203986,Fundus.of.striatum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,104,0.219197295,0.292757122,Fundus.of.striatum_Thionine,6
V236,0.012110102,Geniculate.group..dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,130,0.430276172,0.027985531,Geniculate.group..dorsal.thalamus_Thionine,6
V237,0.002448463,Geniculate.group..ventral.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,141,0.519578774,0.008859571,Geniculate.group..ventral.thalamus_Thionine,6
V238,0.001286424,Hippo,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.552052447,0.006099424,Hippo_Thionine,6
V239,0.033153883,Hippocampal.formation,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,31,0.365328826,0.066549765,Hippocampal.formation_Thionine,6
V240,0.001515739,Hypothalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,144,0.543934029,0.006616322,Hypothalamus_Thionine,6
V241,0.097553094,Induseum.griseum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,112,0.284144642,0.16458344,Induseum.griseum_Thionine,6
V242,0.003335879,Intralaminar.nuclei.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,139,0.503341937,0.010667054,Intralaminar.nuclei.of.the.dorsal.thalamus_Thionine,6
V243,0.097553094,Isocortex,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,41,0.284144642,0.16458344,Isocortex_Thionine,6
V244,0.776388432,Lateral.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,83,0.04871051,0.864400076,Lateral.amygdalar.nucleus_Thionine,6
V245,0.000653585,Lateral.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,4,0.584526121,0.004179905,Lateral.group.of.the.dorsal.thalamus_Thionine,6
V246,0.477659735,Lateral.septal.complex,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,92,0.121776275,0.581223129,Lateral.septal.complex_Thionine,6
V247,0.477659735,Medial.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,61,0.121776275,0.581223129,Medial.group.of.the.dorsal.thalamus_Thionine,6
V248,0.000321048,Mid_Hind_Medulla,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Mid_Hind_Medulla_Thionine,6
V249,0.000384708,Midbrain,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,152,0.608881376,0.003526486,Midbrain_Thionine,6
V250,0.001286424,Midbrain..behavioral.state.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.552052447,0.006099424,Midbrain..behavioral.state.related_Thionine,6
V251,0.013832595,Midbrain..motor.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,129,0.422157754,0.030926532,Midbrain..motor.related_Thionine,6
V252,0.000548903,Midbrain..sensory.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,150,0.592644539,0.003773707,Midbrain..sensory.related_Thionine,6
V253,0.849816607,Midline.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,72,0.032473673,0.912888934,Midline.group.of.the.dorsal.thalamus_Thionine,6
V254,0.026088555,Nucleus.accumbens,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,124,0.381565662,0.053539945,Nucleus.accumbens_Thionine,6
V255,0.079858108,Olfactory.areas,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,39,0.300381479,0.140775512,Olfactory.areas_Thionine,6
V256,0.962243757,Olfactory.tubercle,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,75,0.008118418,0.97285674,Olfactory.tubercle_Thionine,6
V257,0.072042719,Pallidum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,38,0.308499897,0.131203627,Pallidum_Thionine,6
V258,0.181971178,Parasubiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,84,0.22890093,0.276518942,Parasubiculum_Thionine,6
V259,0.000321048,Pons,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,153,0.616999794,0.003526486,Pons_Thionine,6
V260,0.008265622,Pons..behavioral.state.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,107,0.452931627,0.021046723,Pons..behavioral.state.related_Thionine,6
V261,0.000726514,Pons..motor.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,120,0.579557673,0.004449228,Pons..motor.related_Thionine,6
V262,0.002865595,Pons..sensory.related,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,113,0.511374418,0.009850482,Pons..sensory.related_Thionine,6
V263,0.236629793,Posterior.amygdalar.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,102,0.202960459,0.330320778,Posterior.amygdalar.nucleus_Thionine,6
V264,0.006039848,Postsubiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,135,0.470868264,0.016445131,Postsubiculum_Thionine,6
V265,0.01793752,Presubiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,127,0.405920917,0.03853764,Presubiculum_Thionine,6
V266,0.001286424,Reticular.nucleus.of.the.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,145,0.552052447,0.006099424,Reticular.nucleus.of.the.thalamus_Thionine,6
V267,0.009225146,Striatum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,21,0.446513009,0.022651028,Striatum_Thionine,6
V268,0.003335879,Striatum.like.amygdalar.nuclei,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,14,0.503341937,0.010667054,Striatum.like.amygdalar.nuclei_Thionine,6
V269,0.002860908,Striatum_Pallidum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,13,0.511460356,0.009850482,Striatum_Pallidum_Thionine,6
V270,0.569996073,Subiculum,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,64,0.09742102,0.678566753,Subiculum_Thionine,6
V271,0.008026953,Subparafascicular.nucleus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,133,0.454631427,0.020630019,Subparafascicular.nucleus_Thionine,6
V272,0.000460015,Thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,151,0.600762958,0.003614404,Thalamus_Thionine,6
V273,0.002091115,Ventral.group.of.the.dorsal.thalamus,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,142,0.527697192,0.008334153,Ventral.group.of.the.dorsal.thalamus_Thionine,6
V274,0.000384708,ventricular.systems,Thionine,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,152,0.608881376,0.003526486,ventricular.systems_Thionine,6
